Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_CD_EGPRS_PRE_VIT_H            0x7  	0x2		0x1E    ""     				    DEC16      Formatted      "CrlDecodeEgprs_PreVit_H %d"
LG_CD_EGPRS_POST_VIT_H           0x7  	0x2		0x1F    ""     				    DEC16      Formatted      "CrlDecodeEgprs_PostVit_H %d"
LG_CD_EGPRS_PRE_VIT_D            0x7  	0x2		0x20    ""     				    DEC16      Formatted      "CrlDecodeEgprs_PreVit_D(%d)"
LG_CD_EGPRS_POST_VIT_D           0x7  	0x2		0x21    ""     				    DEC16      Formatted      "CrlDecodeEgprs_PostVit_D(%d)"
// LG_CD_GSM_RESULTS             0x7  	0x2		0x22    ""     				    DEC16      Formatted      ""
LG_RSACCH_CURRENT_BLOCK_SOFTBITS  	0x7 	0x2		0x25    "R-SACCH_current Block Soft Bits"  DEC16      Buffer_E      ""
LG_RSACCH_PREVIOUS_BLOCK_SOFTBITS 	0x7   	0x2		0x26    "R-SACCH_previous Block Soft Bits"  DEC16      Buffer_E      ""
LG_RSACCH_COMBINED_BLOCK_SOFTBITS 	0x7   	0x2		0x27    "R-SACCH_combined Block Soft Bits"  DEC16      Buffer_E      ""
LG_RSACCH_VITERBI_OUTPUT	0x7	   0x2		0x28    "R-SACCH_output Viterbi"  DEC16      Buffer_E      ""

// RTV:
LG_RTV_TDS_COMMAND1               0x7 	0x3		0x0     "TDS_Command1 = "                   HEX16      Title+Data     ""
LG_RTV_TDS_COMMAND2               0x7 	0x3		0x1     "TDS_Command2 = "                   HEX16      Title+Data     ""
LG_RTV_TDS_CONTROL_LOOP_IO	  0x7 	0x3		0x2     "TDS_controlLoopIO = " 		    HEX16      Title+Data     ""

// DRX:
LG_DRX_OPTIMAL_OFFSET             0x7 	0x4		0x0     "LG_DRX_OPTIMAL_OFFSET "            DEC16      Formatted      "Drx optimal position:%d "
LG_DRX_GENERAL_1                  0x7 	0x4		0x1     "LG_DRX_GENERAL_1 "                 COMP16Q15  Buffer_E       ""

// CLTE:
